date,department,region,revenue,units_sold
2024-02-25,Marketing,North,10240,204
2024-02-26,Sales,West,9815,196
2024-02-27,IT,South,10711,214
2024-02-28,Sales,West,9426,188
2024-02-29,Marketing,West,9886,197
2024-03-01,Sales,North,10776,215
2024-03-02,Marketing,South,10075,201
2024-03-03,Marketing,South,9130,182
2024-03-04,Sales,South,10297,205
2024-03-05,IT,East,10199,203
2024-03-06,IT,North,9997,199
2024-03-07,Marketing,South,10837,216
2024-03-08,Marketing,South,10180,203
2024-03-09,Marketing,East,9805,196
2024-03-10,Marketing,West,10400,208
2024-03-11,Sales,South,10411,208
2024-03-12,Sales,North,9189,183
2024-03-13,Marketing,East,9597,191
2024-03-14,Sales,South,10106,202
2024-03-15,Sales,East,50000,1000
2024-03-16,Marketing,North,9260,185
2024-03-17,Marketing,South,9963,199
2024-03-18,Marketing,West,10649,212
2024-03-19,IT,West,9941,198
2024-03-20,Marketing,North,9795,195
2024-03-21,Sales,West,9193,183
2024-03-22,IT,East,9227,184
2024-03-23,Marketing,East,10766,215
2024-03-24,Sales,East,9313,186
2024-03-25,Marketing,South,10041,200
2024-03-26,Sales,East,10027,200
2024-03-27,Marketing,North,9934,198
2024-03-28,Sales,North,10165,203
2024-03-29,Marketing,South,8987,179
2024-03-30,Sales,West,10282,205
2024-03-31,Sales,North,9321,186
2024-04-01,IT,South,10057,201
2024-04-02,Marketing,South,10114,202
2024-04-03,IT,South,9669,193
2024-04-04,IT,West,9320,186
2024-04-05,Sales,West,10051,201
2024-04-06,IT,West,9982,199
2024-04-07,IT,South,9895,197
2024-04-08,Sales,East,10005,200
2024-04-09,Sales,East,9551,191
2024-04-10,IT,North,9929,198
2024-04-11,IT,South,10452,209
2024-04-12,Sales,South,10535,210
2024-04-13,Marketing,North,10440,208
2024-04-14,IT,South,11252,225
2024-04-15,IT,South,9599,191
2024-04-16,Sales,East,10652,213
2024-04-17,Marketing,North,9827,196
2024-04-18,IT,East,9907,198
2024-04-19,Sales,North,9438,188
2024-04-20,Marketing,East,10056,201
2024-04-21,IT,South,9261,185
2024-04-22,Sales,North,9799,195
2024-04-23,IT,West,9769,195
2024-04-24,IT,West,9699,193
2024-04-25,Marketing,South,10245,204
2024-04-26,IT,East,9247,184
2024-04-27,Sales,North,9309,186
2024-04-28,Marketing,East,9250,185
2024-04-29,Marketing,East,9813,196
2024-04-30,Marketing,East,9907,198
2024-05-01,Sales,West,10440,208
2024-05-02,IT,South,10922,218
2024-05-03,Marketing,East,10439,208
2024-05-04,Marketing,East,9543,190
2024-05-05,IT,West,10772,215
2024-05-06,Sales,West,9698,193
2024-05-07,IT,East,10547,210
2024-05-08,IT,North,10081,201
2024-05-09,Sales,South,10889,217
2024-05-10,Sales,North,9726,194
2024-05-11,Marketing,West,8991,179
2024-05-12,IT,East,9236,184
2024-05-13,IT,North,10317,206
2024-05-14,IT,East,9318,186
2024-05-15,Sales,North,10007,200
2024-05-16,Marketing,North,10172,203
2024-05-17,Sales,North,10427,208
2024-05-18,Marketing,North,10121,202
2024-05-19,IT,South,9937,198
2024-05-20,Marketing,South,9443,188
2024-05-21,Sales,East,10236,204
2024-05-22,Sales,South,10378,207
2024-05-23,Sales,East,9810,196
2024-05-24,Marketing,South,9924,198
2024-05-25,Marketing,South,10113,202
2024-05-26,Sales,East,9642,192
2024-05-27,Marketing,East,10714,214
2024-05-28,IT,South,9663,193
2024-05-29,IT,West,9823,196
2024-05-30,Marketing,North,10321,206
2024-05-31,IT,South,9649,192
2024-06-01,Marketing,South,9877,197
2024-06-02,Sales,North,10254,205
2024-06-03,IT,North,10370,207
2024-06-04,Marketing,North,10009,200
2024-06-05,IT,North,9627,192
2024-06-06,IT,North,9680,193
2024-06-07,IT,South,9799,195
2024-06-08,Sales,East,9579,191
2024-06-09,Marketing,North,9301,186
2024-06-10,IT,East,10085,201
2024-06-11,Sales,North,10228,204
2024-06-12,Marketing,South,10996,219
2024-06-13,Marketing,West,10659,213
2024-06-14,IT,South,10097,201
2024-06-15,Marketing,East,9761,195
2024-06-16,IT,South,9594,191
2024-06-17,Sales,North,8849,176
2024-06-18,Sales,South,9838,196
2024-06-19,IT,East,10530,210
2024-06-20,Sales,East,10339,206
2024-06-21,IT,East,500,10
2024-06-22,IT,South,9561,191
2024-06-23,IT,North,10025,200
2024-06-24,Marketing,South,9464,189
2024-06-25,IT,West,10393,207
2024-06-26,Sales,South,9005,180
2024-06-27,IT,West,9512,190
2024-06-28,Marketing,North,10008,200
2024-06-29,Sales,North,10037,200
2024-06-30,Marketing,East,10266,205
2024-07-01,Sales,South,10645,212
2024-07-02,IT,West,9530,190
2024-07-03,Marketing,East,9516,190
2024-07-04,Sales,North,9832,196
2024-07-05,Marketing,West,9731,194
2024-07-06,Sales,East,9393,187
2024-07-07,Marketing,East,10133,202
2024-07-08,Sales,South,11225,224
2024-07-09,Sales,South,11206,224
2024-07-10,IT,East,9959,199
2024-07-11,Marketing,East,9301,186
2024-07-12,IT,South,9539,190
2024-07-13,Sales,South,10164,203
2024-07-14,Marketing,East,9911,198
2024-07-15,Marketing,North,9760,195
2024-07-16,IT,North,8997,179
2024-07-17,Sales,South,9570,191
2024-07-18,Marketing,West,10013,200
